hour_of_day,day_of_week,party_size,tables_occupied,tables_total,queue_length,avg_party_size_ahead,occupancy_rate,is_peak_hour,is_weekend,wait_minutes
17,3,8,10,28,7,3.6,0.357,0,0,2.9
13,6,2,23,28,4,3.6,0.821,1,1,35.9
15,0,2,21,28,12,3.01,0.75,1,0,65.6
11,2,4,9,28,11,4.91,0.321,0,0,3.4
13,3,3,24,28,2,4.51,0.857,1,0,20.8
12,3,6,13,28,1,2.85,0.464,0,0,2.1
12,3,2,6,28,11,3.23,0.214,0,0,2.2
11,3,2,3,28,1,2.99,0.107,0,0,3.2
14,5,1,17,28,9,3.07,0.607,1,1,38.7
20,5,6,15,28,14,1.81,0.536,1,1,76.6
12,6,5,24,28,11,3.62,0.857,0,1,120.0
19,4,5,0,28,8,4.95,0.0,1,0,6.6
22,6,5,16,28,7,4.05,0.571,1,1,36.7
17,0,4,1,28,0,1.72,0.036,0,0,3.9
18,4,4,7,28,5,4.61,0.25,0,0,4.8
15,6,4,0,28,4,3.46,0.0,1,1,6.6
17,2,3,14,28,9,1.59,0.5,0,0,19.6
13,6,6,16,28,3,3.47,0.571,1,1,16.1
17,4,3,3,28,12,1.77,0.107,0,0,3.7
16,3,6,12,28,13,3.72,0.429,0,0,7.2
22,3,2,10,28,9,1.93,0.357,1,0,4.1
11,0,2,24,28,3,2.73,0.857,0,0,22.3
13,6,2,8,28,13,2.28,0.286,1,1,2.7
22,6,2,23,28,8,2.91,0.821,1,1,75.2
22,5,4,2,28,0,2.02,0.071,1,1,8.0
21,0,8,21,28,6,2.48,0.75,1,0,62.3
11,0,2,1,28,4,3.21,0.036,0,0,7.9
17,3,2,23,28,10,2.35,0.821,0,0,55.6
12,5,3,15,28,0,2.03,0.536,0,1,5.0
21,5,4,2,28,3,2.64,0.071,1,1,3.3
20,2,5,19,28,6,2.11,0.679,1,0,34.6
12,0,4,24,28,8,2.23,0.857,0,0,76.6
20,2,2,15,28,9,4.94,0.536,1,0,22.0
11,5,6,4,28,10,2.16,0.143,0,1,3.7
13,2,5,21,28,7,4.61,0.75,1,0,56.4
14,2,6,3,28,5,3.84,0.107,1,0,5.5
19,2,8,17,28,13,3.42,0.607,1,0,89.2
19,3,4,0,28,13,2.64,0.0,1,0,6.5
18,6,4,0,28,11,3.28,0.0,0,1,5.8
16,5,4,5,28,12,3.2,0.179,0,1,7.4
21,1,3,0,28,11,3.84,0.0,1,0,7.2
22,4,3,3,28,2,4.19,0.107,1,0,2.3
22,3,3,13,28,4,4.59,0.464,1,0,6.5
